Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 5),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 5),Unit Price (@ Batch Size: 5),Unit Price (@ Batch Size: 5),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Custom],SKU [Custom],Packaging [Custom],Unit Price (@ Batch Size: 5) [Custom],Line Total [Custom],Batch Total [Custom],In Stock [Custom],MOQ [Custom],URL [Custom],Notes
,,,,,,,,,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,,,,,,,,,,
3,GRM21BR6YA106ME43L,Murata,GRM21BR6YA106ME43L,https://octopart.com/grm21br6ya106me43l-murata-51454506,"C1, C2, C3",C2012X5R1V106K085AC,CAP CER 10UF 35V 10% X5R 0805,15,490-10515-1-ND,GRM21BR6YA106ME43L,,Cut Tape,,,0.291,0.177,,13443,52248,,1,1,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0830dd7&sid=459&ppid=51454506&vpid=172161985&ct=offers,https://octopart-clicks.com/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DK0Sa7bCb58L8Cutg5cHuEA%253d%253d%26utm_source%3Doctopart%26utm_medium%3Daggregator%26utm_campaign%3DGRM21BR6YA106ME43L%26utm_term%3DGRM21BR6YA106ME43L%26utm_content%3DMurata+Electronics&country=US&ak=68b25f31&sig=0ccf418&sid=2401&ppid=51454506&ct=offers,,Digi-Key,490-10515-1-ND,Cut Tape,0.291,0.873,4.364999999999999,13443,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0830dd7&sid=459&ppid=51454506&vpid=172161985&ct=offers,
7,GRM188R61A106KE69D,Murata,GRM188R61A106KE69D,https://octopart.com/grm188r61a106ke69d-murata-22851381,"C4, C9, C11, C12, C13, C18, C19",GRM188R61A106KE69D,Cap Ceramic 10uF 10V X5R 10% SMD 0603 85C Paper T/R,35,490-10474-1-ND,GRM188R61A106KE69D,55Y9855,Cut Tape,,Cut Tape,0.125,0.08,0.052,1486,590013,15441,1,,10,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0066ece&sid=459&ppid=22851381&vpid=172161837&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0d084dc&sid=2401&ppid=22851381&vpid=165405546&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0717037&sid=2402&ppid=22851381&vpid=228368762&ct=offers,Digi-Key,490-10474-1-ND,Cut Tape,0.125,0.875,4.375,1486,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0066ece&sid=459&ppid=22851381&vpid=172161837&ct=offers,
8,GRM188R71C104KA01J,Murata,GRM188R71C104KA01J,https://octopart.com/grm188r71c104ka01j-murata-5464383,"C5, C6, C10, C14, C15, C16, C20, C21",CMP-132596-3,CAP CER 0.1UF 16V 10% X7R 0603,40,490-9690-1-ND,GRM188R71C104KA01J,,Cut Tape,,,0.061,0.034,,11824,26300,,1,1,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=07fee8d&sid=459&ppid=5464383&vpid=134455162&ct=offers,https://octopart-clicks.com/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DWZmVLWkT%252feDmX8INul3SJQ%253d%253d%26utm_source%3Doctopart%26utm_medium%3Daggregator%26utm_campaign%3DGRM188R71C104KA01J%26utm_term%3DGRM188R71C104KA01J%26utm_content%3DMurata+Electronics&country=US&ak=68b25f31&sig=0eb6966&sid=2401&ppid=5464383&ct=offers,,Future Electronics,GRM188R71C104KA01J,,0.0019,0.0152,0.076,120314,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=05d1926&sid=2454&ppid=5464383&vpid=15651398&ct=offers,
3,GRM188R71H103KA01D,Murata,GRM188R71H103KA01D,https://octopart.com/grm188r71h103ka01d-murata-81373,"C7, C8, C17",GRM188R71H103KA01D,0603 10nF 50V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor,15,490-1512-1-ND,GRM188R71H103KA01D,38K1669,Cut Tape,,Cut Tape,0.019,0.01,0.008,1764993,475581,0,1,1,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=009f7c0&sid=459&ppid=81373&vpid=1628801&ct=offers,https://octopart-clicks.com/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DWWniysbtxULrL2ljbViAbw%253d%253d%26utm_source%3Doctopart%26utm_medium%3Daggregator%26utm_campaign%3DGRM188R71H103KA01D%26utm_term%3DGRM188R71H103KA01D%26utm_content%3DMurata+Electronics&country=US&ak=68b25f31&sig=0df8e66&sid=2401&ppid=81373&ct=offers,https://octopart-clicks.com/click/track?url=http%3A%2F%2Fwww.newark.com%2F38K1669&country=US&ak=68b25f31&sig=07e88e5&sid=2402&ppid=81373&ct=offers,Digi-Key,490-1512-1-ND,Cut Tape,0.019,0.056999999999999995,0.28500000000000003,1764993,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=009f7c0&sid=459&ppid=81373&vpid=1628801&ct=offers,
1,SK55AFL-TP,MCC,SK55AFL-TP,https://octopart.com/sk55afl-tp-mcc-47354580,D1,SK55AFL-TP,Diode Schottky 50v 5a Do221ac,5,SK55AFL-TPMSCT-ND,,,Cut Tape,,,0.63,,,9621,,,1,,,https://octopart-clicks.com/click/track?c=1&country=US&ak=68b25f31&sig=0547a4f&sid=459&ppid=47354580&vpid=127912791&ct=offers,,,Digi-Key,SK55AFL-TPMSCT-ND,Cut Tape,0.63,0.63,3.15,9621,1,https://octopart-clicks.com/click/track?c=1&country=US&ak=68b25f31&sig=0547a4f&sid=459&ppid=47354580&vpid=127912791&ct=offers,
1,Q62702P5177,Osram Opto,Q62702P5177,https://octopart.com/q62702p5177-osram+opto-31090940,D2,HSMY-C170,LED 589NM YELLOW DIFF 0805 SMD,5,475-2560-1-ND,Q62702P5177,,Cut Tape,,,0.27,0.26,,6738,113417,,1,,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0c3b5b1&sid=459&ppid=31090940&vpid=90899252&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0467922&sid=2401&ppid=31090940&vpid=90919843&ct=offers,,Digi-Key,475-2560-1-ND,Cut Tape,0.27,0.27,1.35,6738,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0c3b5b1&sid=459&ppid=31090940&vpid=90899252&ct=offers,
1,LHR974-LP-1,Osram Opto,LH R974-LP-1,https://octopart.com/lh+r974-lp-1-osram+opto-31093897,D3,CMP-3212442-5,LED CHIPLED 645NM RED DIFF 0805,5,475-1415-1-ND,LH R974-LP-1,,Cut Tape,,,0.26,0.24,,60217,94748,,1,,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=02a5873&sid=459&ppid=31093897&vpid=90899261&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=06cdf99&sid=2401&ppid=31093897&vpid=90919800&ct=offers,,Digi-Key,475-1415-1-ND,Cut Tape,0.26,0.26,1.3,60217,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=02a5873&sid=459&ppid=31093897&vpid=90899261&ct=offers,
1,LGR971-KN-1,Osram Opto,Q62702P5179,https://octopart.com/q62702p5179-osram+opto-31090942,D4,CMP-2502083-4,"Osram Opto CHIPLED 0805 Series 0805 Green LED, 160",5,475-1410-1-ND,Q62702P5179,,Cut Tape,,,0.26,0.24,,161096,292690,,1,,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0074ba2&sid=459&ppid=31090942&vpid=90899258&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0b6a00f&sid=2401&ppid=31090942&vpid=90919796&ct=offers,,Digi-Key,475-1410-1-ND,Cut Tape,0.26,0.26,1.3,161096,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0074ba2&sid=459&ppid=31090942&vpid=90899258&ct=offers,
1,929975-01-20-RK,3M,929975-01-20-RK,https://octopart.com/929975-01-20-rk-3m-252730,J6,CMP-677180-3,"CONN RCPT .100 40POS DUAL TIN""",5,929975E-01-20-ND,929975-01-20-RK,,Bulk,,,3.2,3.19,,261,321,,1,,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=09e1c80&sid=459&ppid=252730&vpid=1856895&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=073da8f&sid=2401&ppid=252730&vpid=37900258&ct=offers,,Digi-Key,929975E-01-20-ND,Bulk,3.2,3.2,16,261,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=09e1c80&sid=459&ppid=252730&vpid=1856895&ct=offers,
